state,state_full,mar_2019,mar_2024,mar_2025,mar_2026,change_pct
NSW,New South Wales,314010,282310,286400,314490,9.8
Vic.,Victoria,234430,199120,212550,220620,3.8
Qld,Queensland,166420,159500,133990,146390,9.3
SA,South Australia,24700,22290,24250,25140,3.7
WA,Western Australia,74810,76560,81900,87900,7.3
Tas.,Tasmania,8730,9210,9540,10370,8.7
NT,Northern Territory,4920,3580,4490,5570,23.9
ACT,Australian Capital Territory,8280,8390,8050,8470,5.1
